"subid","site","age","cond","order","q","answer","polite","q_kind"
"3JW0YL","US","adult","cont","1","trial2_nice",0,"polite","niceness"
"3KAKFY","US","adult","cont","1","trial2_nice",1,"polite","niceness"
"3KYQYY","US","adult","expt","1","trial2_nice",1,"polite","niceness"
"3QIYRE","US","adult","cont","1","trial2_nice",0,"polite","niceness"
"3QUO65","US","adult","cont","1","trial2_nice",0,"polite","niceness"
"3R2UR8","US","adult","cont","1","trial2_nice",1,"polite","niceness"
"3R6BYF","US","adult","expt","1","trial2_nice",1,"polite","niceness"
"3R8YZB","US","adult","expt","1","trial2_nice",1,"polite","niceness"
"3RSDUR","US","adult","cont","1","trial2_nice",0,"polite","niceness"
"3RXPCZ","US","adult","expt","1","trial2_nice",1,"polite","niceness"
"3SB5N7","US","adult","expt","1","trial2_nice",1,"polite","niceness"
"3SB5N7","US","adult","cont","1","trial2_nice",0,"polite","niceness"
"3VNL7U","US","adult","expt","1","trial2_nice",1,"polite","niceness"
"3X4JMA","US","adult","expt","1","trial2_nice",0,"polite","niceness"
"3Y4W8Q","US","adult","cont","1","trial2_nice",0,"polite","niceness"
"3YGXWB","US","adult","expt","1","trial2_nice",1,"polite","niceness"
"3ZQIG0","US","adult","expt","1","trial2_nice",1,"polite","niceness"
"30BXRY","India","adult","cont","1","trial3_nice",0,"polite","niceness"
"3300DT","India","adult","cont","1","trial3_nice",0,"polite","niceness"
"35L9RV","India","adult","cont","1","trial3_nice",0,"polite","niceness"
"37TD41","India","adult","cont","1","trial3_nice",0,"polite","niceness"
"39ASUF","India","adult","expt","1","trial3_nice",1,"polite","niceness"
"3A0EX8","India","adult","cont","1","trial3_nice",1,"polite","niceness"
"3A9AA9","India","adult","cont","1","trial3_nice",1,"polite","niceness"
"3BEFOD","India","adult","cont","1","trial3_nice",0,"polite","niceness"
"3E13VN","India","adult","expt","1","trial3_nice",1,"polite","niceness"
"3EFVCA","India","adult","expt","1","trial3_nice",1,"polite","niceness"
"3EJJQN","India","adult","cont","1","trial3_nice",0,"polite","niceness"
"3FTF2T","India","adult","cont","1","trial3_nice",1,"polite","niceness"
"3FTYUG","India","adult","expt","1","trial3_nice",1,"polite","niceness"
"3GNA64","India","adult","cont","1","trial3_nice",1,"polite","niceness"
"3JAOYW","India","adult","cont","1","trial3_nice",0,"polite","niceness"
"3JC6VJ","India","adult","expt","1","trial3_nice",1,"polite","niceness"
"3KJYX6","India","adult","expt","1","trial3_nice",1,"polite","niceness"
"3M0BCW","India","adult","expt","1","trial3_nice",1,"polite","niceness"
"3MYYFC","India","adult","cont","1","trial3_nice",0,"polite","niceness"
"3N8OEV","India","adult","expt","1","trial3_nice",1,"polite","niceness"
